id,zip,org,commute1 - 08889,commute2 - 07033,commute3 - 19486,commute4 - 08869,commute5 - 08875
1,8822,Org A,8.840865278,32.22534342,31.24435136,12.44855852,9.423170577
2,19095,Org B,41.70705182,61.02054205,11.36531777,43.08488896,41.32588466
3,8889,Org C,0,25.5870341,39.84447092,7.392838299,3.982073285
4,18947,Org A,22.18442982,46.61166826,18.44899589,26.83493792,23.71218751
5,8825,Org B,12.82743099,38.41363732,30.22338728,19.42395679,15.79112454
6,7936,Org B,25.32696333,10.39041902,64.82516538,22.09593949,24.27522335
7,8886,Org B,17.25112162,41.04388304,37.50200802,24.64279856,21.15269771
8,7901,Org D,22.55175347,4.41589485,60.68572343,17.58635509,20.49128198
9,7073,Org D,38.45152312,14.66987468,76.75698885,33.70015561,36.60131322
10,8046,Org E,41.62033387,53.27460703,29.30756093,39.64012409,39.50052414
11,8865,Org E,15.29589875,36.95876106,42.20220852,22.39540405,19.26244668
12,7712,Org B,45.65551707,32.13339758,66.19683152,38.40568392,41.68238402
13,8820,Org D,21.66541459,7.919430103,55.75556542,14.69741631,18.32299696
14,8876,Org D,6.952207142,21.05124924,41.76193583,1.364951046,2.989195972
15,8807,Org E,8.72586914,17.4581471,45.62142747,2.521483073,5.604270824
16,8902,Org E,19.3191952,19.54650932,45.80653948,12.40820447,15.34175886
17,18976,Org D,32.17721112,53.8272525,8.881402316,34.76329544,32.45082232
18,7030,Org E,39.74074914,14.29753638,76.49596151,34.07143039,37.32775941
19,7652,Org D,43.27119318,21.82631477,82.54043376,39.48669229,42.00316615
20,18015,Org F,30.46026243,55.95759747,26.76799288,37.23553934,33.59865209
21,8833,Org E,3.315709844,28.39137614,38.82680424,10.70782789,7.254272558
23,7066,Org D,24.197036,3.947326414,59.6309574,17.716612,21.21267835
24,19446,Org G,38.43042899,61.21709291,1.547497612,41.82277024,39.2176895
25,8853,Org G,8.83054971,26.17730652,36.29747452,7.133650055,6.151357959
26,8853,Org E,8.83054971,26.17730652,36.29747452,7.133650055,6.151357959
27,8873,Org F,15.63919297,17.74841075,45.5490613,8.472373312,11.66787532
28,18951,Org D,26.13190146,51.24084583,17.73510107,31.53416617,28.2018536
